,Hue Angle,PSE,JND,PSE_err,JND_err,condition,subject,trialN
0,22.5,0.5413467032464391,5.316100032188178,0.2119051352791101,0.3792308682318539,LL,sAVG,1440
1,67.5,-0.17257467333992468,5.238544474274961,0.10857952903395046,0.19311729000011932,LL,sAVG,1440
2,112.5,0.05299017398503002,3.8111682165638023,0.14522088663351196,0.277004069811537,LL,sAVG,1440
3,157.5,-0.11557943091026267,5.895022915319597,0.15475625419657418,0.30747518879784164,LL,sAVG,1440
4,202.5,-0.03674119432886955,5.018076770199394,0.1658761405421587,0.3337906761745459,LL,sAVG,1440
5,247.5,-0.2108530009213574,3.3710254028258246,0.1334784195819319,0.2498004445194323,LL,sAVG,1440
6,292.5,-0.16057460566187273,2.5914076869165044,0.13585753824544505,0.2522692845153581,LL,sAVG,1440
7,337.5,0.09523441644799302,3.9528320550918763,0.12908247643153178,0.2339112945167548,LL,sAVG,1440
8,22.5,-0.8099195595952297,11.911835670899212,0.37240098347678346,0.869757685057838,HH,sAVG,1440
9,67.5,0.2874449220698135,9.342149504358263,0.32827618972540695,0.6574613951796237,HH,sAVG,1440
10,112.5,0.3918958198891134,9.233875046009835,0.2202624934756455,0.45109280204631985,HH,sAVG,1440
11,157.5,-0.4918847800249409,10.639500140854688,0.27269520140680026,0.5740682403605599,HH,sAVG,1440
12,202.5,0.49634026205170995,10.424761983318575,0.24310127888423524,0.5515033035191761,HH,sAVG,1440
13,247.5,-0.17397861038227433,8.493426813270784,0.23307369587265192,0.4625840734467634,HH,sAVG,1440
14,292.5,-0.7986461933635395,7.801877607804607,0.2050530266270359,0.3927414618323116,HH,sAVG,1440
15,337.5,0.012495702075318188,9.41793073748571,0.19551930858195823,0.4077025568273083,HH,sAVG,1440
16,22.5,-4.156143916732263,7.6499721670391905,0.43597203800629597,0.6971097861232544,LH,sAVG,1440
17,67.5,0.46549721725205867,9.33194287476109,0.674285388782914,1.3844472184303513,LH,sAVG,1440
18,112.5,1.3792536775537014,7.165279762202448,0.4523776860474455,0.8897349118199275,LH,sAVG,1440
19,157.5,0.43457208376912076,8.820182338954082,0.4417889098103516,0.849324644601639,LH,sAVG,1440
20,202.5,5.76494465805151,7.623779404264003,0.43699045096240846,0.5775897231323439,LH,sAVG,1440
21,247.5,3.134222383179054,5.572733169733879,0.21214915333364368,0.3181411580466013,LH,sAVG,1440
22,292.5,-0.4123822255200072,6.4123552479624,0.2676759862449546,0.4637889626242846,LH,sAVG,1440
23,337.5,-4.307908547592179,6.286295903240744,0.4907817852772815,0.6893859641101918,LH,sAVG,1440
