,Hue Angle,condition,JND,PSE,JND_sd,PSE_sd,JND_err,PSE_err
0,22.5,HH,11.690497263921737,-0.6683628649386137,4.621057022308642,0.8023182605674282,1.8865386294935325,0.3275450582845928
1,22.5,LH,8.402641978676172,-2.7379374946022885,1.558775804540725,2.342446404251517,0.6363675574201837,0.9562997400389048
2,22.5,LL,5.1697219508383405,0.37284791218910823,1.7618357115865304,0.7743561054259726,0.7192664173333847,0.31612955625040823
3,67.5,HH,9.203937390800226,0.4233998111695352,2.152104671138229,0.5938457037237148,0.8785930528914762,0.24243649334451628
4,67.5,LH,7.455959336596256,-0.4501382034689498,2.3035020839283518,3.13261311982338,0.9404007878436956,1.2788839508525636
5,67.5,LL,5.509779393416217,-0.25967448342846294,1.9208548058722077,0.38607549819418646,0.7841856907266244,0.15761466212776087
6,112.5,HH,9.484862424493812,0.005171697150419245,3.3631598445219955,0.9102137019760268,1.373004257082816,0.3715931877884971
7,112.5,LH,6.28030329872318,1.2445690703808756,2.7123924802161308,2.5805728960012977,1.107329593115273,1.05351447320991
8,112.5,LL,3.7660712363279782,0.03582933009676826,1.8152719519285383,0.22545237212436717,0.7410816711018255,0.09204054550079559
9,157.5,HH,11.300741219216185,-0.07546475545092508,3.2235954170979615,1.1898558983826117,1.3160273181773863,0.4857566364130452
10,157.5,LH,7.6101417219599155,0.5690236016894011,2.1451849273899413,2.0300292596375358,0.8757680793357897,0.8287559748386456
11,157.5,LL,6.477492777654406,-0.12953582733705898,2.591474249545478,0.39799078182317665,1.0579649321580638,0.16247905629968817
12,202.5,HH,10.294897482791873,0.3843242020414319,3.6943601259434455,0.5194764597716606,1.5082162057742734,0.21207537663800016
13,202.5,LH,7.477651958010124,4.934674598169747,2.1636212830809565,3.5011027245019064,0.8832946900290304,1.4293192020162766
14,202.5,LL,5.3176320911843264,-0.007771887050631805,2.2524072475180823,0.49859282166717567,0.9195414082276724,0.2035496670831782
15,247.5,HH,8.544418824753073,-0.1556628243084203,2.2889565867420427,0.6816146366715387,0.934462613483438,0.2782680101763028
16,247.5,LH,7.213362167986759,3.1466712678618722,3.0887599980918456,1.9675394699149522,1.260980988874161,0.8032446250129546
17,247.5,LL,3.7729313824741477,-0.20923130275365764,1.824038693327344,0.2650360820095,0.7446606782908267,0.10820052739161859
18,292.5,HH,7.629035135247158,-0.4994687097567261,2.2399448007039355,0.3202280613316383,0.9144536356208001,0.13073255859719843
19,292.5,LH,6.337028657110108,0.0490441046428144,1.9229122543847506,1.9374174939846314,0.7850256405645873,0.7909473798340074
20,292.5,LL,2.937908080180334,-0.07612386271736145,1.6782774760978174,0.1917996613905505,0.6851539105409408,0.07830188387424003
21,337.5,HH,9.522688494335428,-0.033157479237745924,2.831593836976092,0.46511179467953256,1.1559933432335001,0.18988109505249845
22,337.5,LH,7.022212945876532,-3.60771125540099,1.8277205229056064,4.4300104096844635,0.7461637789219316,1.8085441764908
23,337.5,LL,4.062205661749437,0.04825868555569579,1.5245897167980849,0.4112772441646868,0.6224111455416033,0.16790323183692218
